label,cleaned_text
neutral,phone case came plain packaging function normally
positive,great coffee maker fast delivery excellent quality overall
negative,hated watch complete waste money
negative,poor quality game feel cheap flimsy
neutral,standard phone case similar others price range
neutral,received game yesterday still testing
positive,superb watch worth every penny
neutral,watch work expected strong feeling either way
positive,coffee maker made day pure joy using every time
negative,tv show horrible save money avoid
negative,terrible restaurant broke two day use
positive,im impressed product quality outstanding
neutral,product match description complaint praise
neutral,tv show fine basic use nothing add
negative,hated app complete waste money
neutral,hotel stay fine basic use nothing add
positive,im impressed app quality outstanding
negative,im furious laptop customer service help either
neutral,watch came plain packaging function normally
negative,worst app ever purchased disappointed
negative,disappointing product regret buying
negative,phone case horrible save money avoid
neutral,tv show okay say nothing
negative,terrible service broke two day use
positive,superb headphone worth every penny
positive,laptop wonderful exactly hoping
neutral,backpack match description complaint praise
negative,terrible shoe broke two day use
neutral,regular phone case use occasionally
negative,watch awful nothing like advertised
negative,disappointing game regret buying
positive,best hotel stay ive bought year highly recommend everyone
positive,superb tv show worth every penny
positive,amazing coffee maker cant stop telling friend
positive,great blender fast delivery excellent quality overall
positive,absolutely loved restaurant exceeded every expectation
positive,headphone made day pure joy using every time
positive,superb backpack worth every penny
positive,game fantastic work perfectly look amazing
negative,disappointing movie regret buying
neutral,standard shoe similar others price range
neutral,hotel stay okay say nothing
positive,amazing headphone cant stop telling friend
positive,absolutely loved watch exceeded every expectation
negative,im furious product customer service help either
positive,great movie fast delivery excellent quality overall
neutral,shoe okay say nothing
neutral,coffee maker came plain packaging function normally
negative,disappointing restaurant regret buying
neutral,phone case fine basic use nothing add
negative,disappointing blender regret buying
neutral,laptop work expected strong feeling either way
neutral,average watch neither good bad experience
positive,service made day pure joy using every time
neutral,coffee maker work expected strong feeling either way
negative,terrible phone case broke two day use
neutral,average shoe neither good bad experience
negative,terrible product broke two day use
negative,im furious hotel stay customer service help either
positive,superb hotel stay worth every penny
neutral,received headphone yesterday still testing
positive,really happy camera five star way
neutral,restaurant okay say nothing
neutral,received coffee maker yesterday still testing
negative,disappointing hotel stay regret buying
neutral,received service yesterday still testing
neutral,regular product use occasionally
neutral,regular service use occasionally
neutral,average phone case neither good bad experience
negative,im furious book customer service help either
positive,great laptop fast delivery excellent quality overall
negative,disappointing coffee maker regret buying
neutral,camera fine basic use nothing add
neutral,received backpack yesterday still testing
neutral,received game yesterday still testing
positive,phone case wonderful exactly hoping
neutral,book fine basic use nothing add
positive,best shoe ive bought year highly recommend everyone
positive,amazing backpack cant stop telling friend
neutral,hotel stay match description complaint praise
neutral,standard laptop similar others price range
positive,really happy watch five star way
neutral,received watch yesterday still testing
neutral,average product neither good bad experience
negative,disappointing restaurant regret buying
negative,terrible product broke two day use
negative,service stopped working almost immediately frustrating
neutral,app came plain packaging function normally
neutral,standard shoe similar others price range
negative,blender awful nothing like advertised
neutral,camera okay say nothing
neutral,regular movie use occasionally
positive,tv show wonderful exactly hoping
negative,phone case awful nothing like advertised
neutral,game work expected strong feeling either way
positive,best tv show ive bought year highly recommend everyone
negative,im furious laptop customer service help either
negative,watch horrible save money avoid
negative,disappointing tv show regret buying
positive,absolutely loved app exceeded every expectation
neutral,backpack work expected strong feeling either way
negative,tv show stopped working almost immediately frustrating
neutral,average restaurant neither good bad experience
negative,app horrible save money avoid
neutral,laptop work expected strong feeling either way
positive,restaurant fantastic work perfectly look amazing
negative,coffee maker horrible save money avoid
positive,tv show fantastic work perfectly look amazing
neutral,backpack arrived time nothing special report
neutral,average movie neither good bad experience
negative,watch horrible save money avoid
positive,headphone fantastic work perfectly look amazing
negative,disappointing book regret buying
neutral,coffee maker fine basic use nothing add
positive,superb backpack worth every penny
neutral,standard book similar others price range
negative,worst phone case ever purchased disappointed
positive,amazing coffee maker cant stop telling friend
negative,poor quality restaurant feel cheap flimsy
positive,best watch ive bought year highly recommend everyone
neutral,headphone arrived time nothing special report
negative,restaurant horrible save money avoid
positive,camera made day pure joy using every time
neutral,camera came plain packaging function normally
neutral,restaurant okay say nothing
negative,worst app ever purchased disappointed
negative,really bad experience coffee maker would recommend
positive,im impressed shoe quality outstanding
negative,really bad experience restaurant would recommend
negative,im furious app customer service help either
positive,blender wonderful exactly hoping
negative,hated laptop complete waste money
neutral,movie match description complaint praise
neutral,standard hotel stay similar others price range
neutral,standard tv show similar others price range
negative,poor quality shoe feel cheap flimsy
neutral,hotel stay okay say nothing
neutral,hotel stay came plain packaging function normally
positive,im impressed tv show quality outstanding
neutral,watch arrived time nothing special report
positive,absolutely loved movie exceeded every expectation
positive,app fantastic work perfectly look amazing
neutral,backpack arrived time nothing special report
neutral,headphone match description complaint praise
negative,camera awful nothing like advertised
positive,im impressed service quality outstanding
positive,superb hotel stay worth every penny
positive,watch wonderful exactly hoping
negative,worst blender ever purchased disappointed
positive,hotel stay fantastic work perfectly look amazing
negative,really bad experience product would recommend
neutral,standard blender similar others price range
neutral,laptop work expected strong feeling either way
negative,disappointing service regret buying
positive,phone case fantastic work perfectly look amazing
negative,hated camera complete waste money
neutral,average camera neither good bad experience
neutral,standard hotel stay similar others price range
positive,phone case made day pure joy using every time
negative,coffee maker awful nothing like advertised
negative,phone case awful nothing like advertised
neutral,game fine basic use nothing add
neutral,phone case match description complaint praise
neutral,backpack came plain packaging function normally
negative,disappointing game regret buying
positive,coffee maker fantastic work perfectly look amazing
positive,product fantastic work perfectly look amazing
neutral,received phone case yesterday still testing
negative,disappointing watch regret buying
positive,superb phone case worth every penny
negative,restaurant awful nothing like advertised
negative,poor quality laptop feel cheap flimsy
neutral,restaurant okay say nothing
positive,best hotel stay ive bought year highly recommend everyone
positive,absolutely loved blender exceeded every expectation
neutral,phone case came plain packaging function normally
positive,backpack fantastic work perfectly look amazing
neutral,coffee maker arrived time nothing special report
neutral,phone case work expected strong feeling either way
positive,superb backpack worth every penny
negative,hated app complete waste money
neutral,average movie neither good bad experience
positive,best headphone ive bought year highly recommend everyone
negative,hated shoe complete waste money
neutral,service work expected strong feeling either way
negative,restaurant horrible save money avoid
neutral,standard book similar others price range
positive,im impressed laptop quality outstanding
neutral,received app yesterday still testing
positive,great blender fast delivery excellent quality overall
negative,disappointing app regret buying
neutral,backpack came plain packaging function normally
negative,im furious service customer service help either
neutral,regular phone case use occasionally
negative,worst watch ever purchased disappointed
positive,backpack made day pure joy using every time
positive,im impressed app quality outstanding
neutral,camera arrived time nothing special report
positive,amazing tv show cant stop telling friend
positive,really happy watch five star way
neutral,received movie yesterday still testing
positive,book made day pure joy using every time
negative,worst laptop ever purchased disappointed
negative,worst camera ever purchased disappointed
negative,worst movie ever purchased disappointed
positive,laptop wonderful exactly hoping
negative,terrible backpack broke two day use
neutral,laptop match description complaint praise
negative,really bad experience shoe would recommend
positive,really happy phone case five star way
neutral,book fine basic use nothing add
negative,disappointing app regret buying
positive,amazing watch cant stop telling friend
negative,im furious watch customer service help either
neutral,service okay say nothing
positive,product wonderful exactly hoping
positive,service wonderful exactly hoping
neutral,blender okay say nothing
negative,im furious headphone customer service help either
neutral,tv show arrived time nothing special report
neutral,phone case came plain packaging function normally
neutral,game okay say nothing
positive,really happy tv show five star way
negative,headphone stopped working almost immediately frustrating
negative,terrible camera broke two day use
negative,im furious service customer service help either
neutral,phone case work expected strong feeling either way
negative,im furious camera customer service help either
positive,im impressed service quality outstanding
neutral,standard movie similar others price range
negative,terrible game broke two day use
positive,im impressed game quality outstanding
neutral,standard book similar others price range
positive,camera fantastic work perfectly look amazing
neutral,movie match description complaint praise
neutral,blender okay say nothing
neutral,standard hotel stay similar others price range
positive,im impressed watch quality outstanding
neutral,average hotel stay neither good bad experience
negative,im furious game customer service help either
positive,best camera ive bought year highly recommend everyone
negative,disappointing laptop regret buying
negative,really bad experience watch would recommend
neutral,app came plain packaging function normally
neutral,service came plain packaging function normally
neutral,product match description complaint praise
negative,terrible game broke two day use
negative,terrible tv show broke two day use
negative,hated book complete waste money
positive,watch wonderful exactly hoping
positive,restaurant wonderful exactly hoping
neutral,backpack arrived time nothing special report
neutral,regular game use occasionally
positive,best tv show ive bought year highly recommend everyone
neutral,backpack fine basic use nothing add
positive,absolutely loved watch exceeded every expectation
negative,camera awful nothing like advertised
neutral,restaurant okay say nothing
neutral,shoe fine basic use nothing add
positive,blender fantastic work perfectly look amazing
negative,shoe horrible save money avoid
neutral,backpack arrived time nothing special report
neutral,app arrived time nothing special report
negative,really bad experience tv show would recommend
neutral,backpack work expected strong feeling either way
negative,really bad experience coffee maker would recommend
positive,amazing phone case cant stop telling friend
neutral,standard book similar others price range
positive,absolutely loved app exceeded every expectation
neutral,regular book use occasionally
positive,absolutely loved product exceeded every expectation
negative,poor quality watch feel cheap flimsy
negative,poor quality watch feel cheap flimsy
neutral,phone case came plain packaging function normally
positive,superb headphone worth every penny
positive,great book fast delivery excellent quality overall
negative,poor quality service feel cheap flimsy
neutral,movie fine basic use nothing add
neutral,product match description complaint praise
positive,blender wonderful exactly hoping
positive,really happy camera five star way
